kraj,stolica,powierzchnia,1995,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Nigeria / Nigeria,Abudża / Abuja,924,110449,124842,127918,120047,125275,128254,131530,134375,144077,146255,154729,158259,162471,166629,174508,177476,181562,186053
Norwegia / Norway,Oslo / Oslo,385,4359,4484,4511,4540,4569,4591,4617,4659,4702,4762,4828,4888,4953,5017,5084,5148,5165,5239
Nowa Zelandia / New Zealand,Wellington / Wellington,271,3685,3868,3912,3850,4001,4060,4096,4141,4184,4268,4317,4369,4407,4439,4461,4495,4598,4702
P o l s k a / P o l a n d ,Warszawa / Warsaw,313,38275,38256,38251,38232,38195,38180,38161,38132,38116,38116,38153,38517,38526,38534,38502,38484,38455,38427
Południowa Afryka / South Africa,Pretoria  / Pretoria (Tshwane),1221,41375,44872,45536,45450,45349,46587,46888,47391,47851,48783,49321,49991,50587,51189,53071,53969,55042,55929
Portugalia / Portugal,Lizbona / Lisbon,92,10038,10226,10286,10049,10181,10524,10513,10605,10629,10649,10639,10643,10555,10588,10610,10402,10349,10302
Rosja / Russia,Moskwa / Moscow,17098,148497,146670,146042,143752,144893,144315,143420,142394,141378,141841,141852,141892,142707,142427,143304,143429,144125,144370
Rumunia / Romania,Bukareszt / Bucharest,238,22681,22138,22033,21795,21616,21549,21602,21577,21549,21508,21481,21444,21393,18867,19704,19652,19551,19754
Słowacja / Slovakia,Bratysława / Bratislava,49,5352,5379,5380,5379,5402,5383,5384,5391,5396,5401,5418,5431,5440,5399,5422,5423,5424,5429
Słowenia / Slovenia,Lublana / Ljubljana,20,1966,1985,1988,1996,1971,1997,1999,2006,2011,2029,2037,2051,2052,2059,2060,2066,2064,2065
Stany Zjednoczone / United States,Waszyngton / Washington D.C.,9525,270648,287842,290995,291040,291587,293850,296748,299330,302633,305146,307226,310062,313387,314250,316498,319449,321634,323349
Szwajcaria / Switzerland,Berno / Bern (Berne),41,7038,7184,7228,7290,7336,7392,7519,7533,7607,7617,7739,7807,7913,7998,8083,8211,8280,8372
Szwecja / Sweden,Sztokholm / Stockholm,447,8827,8860,8886,8823,8958,8991,9024,9082,9142,9214,9290,9381,9451,9506,9592,9703,9793,9904
Turcja / Turkey,Ankara / Ankara,785,61206,66460,67444,68569,70597,71617,72083,72932,73884,71002,71983,73085,74306,75226,76248,77524,78214,79270
Ukraina / Ukraine,Kijów / Kyiv  (Kiev),604,51063,48870,48436,48900,47856,47470,47075,46757,46457,46222,46029,45858,45672,45555,45523,45002,45124,44921
Węgry / Hungary,Budapeszt / Budapest,93,10332,10215,10187,10159,10136,10103,10078,10064,10055,10032,10021,10005,9972,9967,9813,9890,9836,9810
Wielka Brytania / United Kingdom,Londyn / London,243,58258,59131,59363,59070,59164,59561,60020,60501,60863,61446,61855,62227,62675,63327,64229,64331,65092,65630
Włochy / Italy,Rzym / Rome (Roma),301,57207,57116,57306,57480,57033,57537,57989,58888,59051,59760,60325,60487,60769,59649,59866,59789,61706,60815
